읍면동명,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,데이터기준일자
내동,0,1,0,1,0,0,1,1,1,2021-09-14
괴란동,0,5,0,2,0,3,4,3,1.67,2021-09-14
구미동,0,76,1,38,26,13,18,65,1.18,2021-09-14
구호동,0,14,0,0,11,3,5,8,1.75,2021-09-14
귀운동,0,10,0,5,4,1,6,6,1.67,2021-09-14
나안동,0,21,0,9,7,5,10,14,1.5,2021-09-14
단봉동,0,55,0,12,21,22,15,23,2.39,2021-09-14
대구동,0,9,0,1,2,6,6,5,1.8,2021-09-14
대진동,0,11,0,0,6,5,8,6,1.83,2021-09-14
동회동,2,273,0,115,112,48,32,230,1.2,2021-09-14
만우동,0,7,0,5,2,0,5,6,1.17,2021-09-14
망상동,0,19,0,8,9,2,9,14,1.36,2021-09-14
발한동,2,496,0,139,244,115,36,346,1.44,2021-09-14
부곡동,2,190,2,38,100,56,33,144,1.35,2021-09-14
북평동,1,87,0,43,36,9,17,65,1.35,2021-09-14
비천동,0,3,0,0,3,0,2,2,1.5,2021-09-14
삼화동,0,21,0,9,8,4,9,15,1.4,2021-09-14
송정동,2,132,0,41,48,45,29,89,1.51,2021-09-14
쇄운동,1,255,0,105,106,45,29,210,1.22,2021-09-14
신흥동,0,20,0,11,6,3,11,14,1.43,2021-09-14
심곡동,0,19,0,0,7,12,5,16,1.19,2021-09-14
어달동,0,24,0,8,15,1,13,16,1.5,2021-09-14
용정동,0,81,0,20,31,30,18,63,1.29,2021-09-14
이기동,0,3,0,3,0,0,2,3,1,2021-09-14
이도동,0,147,0,54,49,44,22,115,1.28,2021-09-14
이로동,1,74,0,21,46,8,20,56,1.34,2021-09-14
지가동,0,2,0,1,1,0,2,2,1,2021-09-14
지흥동,0,20,0,11,6,3,6,15,1.33,2021-09-14
천곡동,2,961,0,284,442,237,54,701,1.37,2021-09-14
초구동,0,11,0,2,6,3,4,9,1.22,2021-09-14
추암동,0,10,0,0,7,3,5,7,1.43,2021-09-14
평릉동,2,277,0,91,134,54,38,215,1.3,2021-09-14
효가동,0,169,1,69,64,37,32,119,1.43,2021-09-14
묵호진동,0,119,0,41,59,19,23,79,1.51,2021-09-14
